accuracy,loss,val_accuracy,val_loss,learning_rate
0.8778735399246216,0.36221936345100403,0.8381502628326416,0.7359106540679932,9.999999974752427e-07
0.8678160905838013,0.36466261744499207,0.8381502628326416,0.735866367816925,9.999999974752427e-07
0.8563218116760254,0.37166762351989746,0.8381502628326416,0.7358354926109314,9.999999974752427e-07
0.8721264600753784,0.3636210560798645,0.8381502628326416,0.7357861399650574,4.999999987376214e-07
0.8548850417137146,0.3844539523124695,0.8381502628326416,0.735755205154419,4.999999987376214e-07
0.8606321811676025,0.39467498660087585,0.8381502628326416,0.7357200384140015,4.999999987376214e-07
0.8663793206214905,0.37558260560035706,0.8381502628326416,0.735698938369751,2.499999993688107e-07
0.8534482717514038,0.39417263865470886,0.8381502628326416,0.7356640696525574,2.499999993688107e-07
0.8893678188323975,0.3229697346687317,0.8381502628326416,0.7356395721435547,2.499999993688107e-07
0.8850574493408203,0.3595096468925476,0.8381502628326416,0.7356163859367371,2.499999993688107e-07
0.897988498210907,0.3436369001865387,0.8381502628326416,0.7356085777282715,1.2499999968440534e-07
0.8635057210922241,0.3698510229587555,0.8381502628326416,0.7355996966362,1.2499999968440534e-07
